Language1, Language2, SimilarityScore, Time
eu, eu, 1.0, 0.000507354736328125
eu, fi, 0.9841269841269842, 7.05718994140625e-05
eu, id, 0.8936170212765957, 4.458427429199219e-05
eu, lb, 0.9230769230769231, 3.552436828613281e-05
eu, ast, 0.9538461538461539, 6.4849853515625e-05
eu, eo, 0.9714285714285715, 3.719329833984375e-05
eu, sco, 0.8888888888888888, 3.409385681152344e-05
eu, ar, 1.0, 1.9311904907226562e-05
eu, fr, 0.96, 9.441375732421875e-05
eu, ia, 1.0, 2.0265579223632812e-05
eu, mr, 1.0, 1.7642974853515625e-05
eu, tr, 0.9565217391304348, 3.170967102050781e-05
eu, lv, 0.8292682926829269, 3.719329833984375e-05
eu, el, 1.0, 1.7881393432617188e-05
eu, hr, 0.8800000000000001, 3.123283386230469e-05
eu, nn, 0.6666666666666666, 2.09808349609375e-05
eu, xmf, 1.0, 1.7642974853515625e-05
eu, es, 0.9391304347826086, 0.00013637542724609375
eu, fiu-vro, 1.0, 1.811981201171875e-05
eu, pl, 0.8656716417910448, 4.887580871582031e-05
eu, vi, 1.0, 1.7881393432617188e-05
eu, zh-yue, 1.0, 1.5020370483398438e-05
eu, uk, 1.0, 1.621246337890625e-05
eu, de, 0.8985507246376813, 6.246566772460938e-05
eu, kn, 1.0, 1.6927719116210938e-05
eu, bh, 1.0, 1.5020370483398438e-05
eu, bar, 1.0, 1.811981201171875e-05
eu, ml, 1.0, 1.5974044799804688e-05
eu, pa, 1.0, 1.4066696166992188e-05
eu, sh, 1.0, 1.5020370483398438e-05
eu, et, 0.9090909090909091, 2.5033950805664062e-05
eu, cs, 0.918918918918919, 6.389617919921875e-05
eu, yi, 1.0, 1.7881393432617188e-05
eu, nl, 0.9357798165137615, 8.153915405273438e-05
eu, si, 1.0, 1.6689300537109375e-05
eu, pt, 0.9629629629629629, 8.869171142578125e-05
eu, ro, 0.9677419354838709, 3.1948089599609375e-05
eu, ja, 1.0, 1.6450881958007812e-05
eu, ne, 1.0, 1.4781951904296875e-05
eu, zh-min-nan, 1.0, 1.3589859008789062e-05
eu, ht, 1.0, 1.33514404296875e-05
eu, fy, 1.0, 1.3113021850585938e-05
eu, be-tarask, 1.0, 1.4543533325195312e-05
eu, be, 1.0, 1.3589859008789062e-05
eu, is, 1.0, 1.3589859008789062e-05
eu, ta, 1.0, 1.3589859008789062e-05
eu, qu, 1.0, 1.33514404296875e-05
eu, hy, 1.0, 1.3828277587890625e-05
eu, cy, 1.0, 3.0517578125e-05
eu, simple, 0.9756097560975611, 6.461143493652344e-05
